,Wikidata
http://www.wikidata.org/entity/Q899523,1.0
http://www.wikidata.org/entity/Q901597,1.0
http://www.wikidata.org/entity/Q9035798,1.0
http://www.wikidata.org/entity/Q9143,1.0
http://www.wikidata.org/entity/Q927083,1.0
http://www.wikidata.org/entity/Q928667,1.0
http://www.wikidata.org/entity/Q9396701,1.0
http://www.wikidata.org/entity/Q94920,1.0
http://www.wikidata.org/entity/Q951497,1.0
http://www.wikidata.org/entity/Q954501,1.0
http://www.wikidata.org/entity/Q9826,0.9999669825337604
http://www.wikidata.org/entity/Q988108,1.0
